name,artist,cluster,danceability,energy,acousticness,instrumentalness,valence,tempo
Se Eu Quiser Falar Com Deus                                                                                                                                                      ,Gilberto Gil                                    ,39,0.658,0.259,0.694,5.87e-05,0.306,110.376
Saudade De Bahia                                                                                                                                                                 ,Antônio Carlos Jobim                            ,42,0.742,0.399,0.217,1.88e-06,0.693,125.039
"Canta Canta, Minha Gente                                                                                                                                                       ",Martinho Da Vila                                ,38,0.851,0.73,0.453,6.34e-05,0.905,93.698
Mulher Eu Sei                                                                                                                                                                    ,Chico César                                     ,42,0.705,0.0502,0.879,4.05e-05,0.524,106.802
Rosa Morena                                                                                                                                                                      ,Kurt Elling                                     ,23,0.651,0.119,0.916,0.000343,0.402,120.941
Desafinado                                                                                                                                                                       ,Stan Getz                                       ,23,0.466,0.146,0.931,0.154,0.423,142.885
Madalena                                                                                                                                                                         ,Maria Gasolina                                  ,31,0.675,0.207,0.963,0.414,0.684,93.531
O Meu Amor É Glòria                                                                                                                                                              ,Sílvia Pérez Cruz                               ,15,0.504,0.733,0.696,5.61e-05,0.886,96.565
Brigas Nunca Mais                                                                                                                                                                ,Paula Morelenbaum                               ,47,0.694,0.546,0.398,0.076,0.641,170.032
Previsao                                                                                                                                                                         ,Bossacucanova                                   ,42,0.674,0.864,0.641,0.358,0.536,99.995
The Girl From Ipanema                                                                                                                                                            ,Stan Getz                                       ,23,0.641,0.14,0.867,0.00166,0.388,129.318
Blue Bossa - Remastered                                                                                                                                                          ,Joe Henderson                                   ,31,0.48,0.433,0.608,0.694,0.897,82.315
Aqua De Coco                                                                                                                                                                     ,Marcos Valle                                    ,16,0.755,0.732,0.487,0.00091,0.816,88.028
Samba de Verão                                                                                                                                                                   ,Marcos Valle                                    ,42,0.697,0.405,0.813,0.000157,0.845,114.833
Mas Que Nada                                                                                                                                                                     ,Rio Combo                                       ,31,0.618,0.539,0.156,0.00214,0.916,88.646
Nova Bossa Nova                                                                                                                                                                  ,Marcos Valle                                    ,4,0.598,0.739,0.523,0.725,0.881,95.018
Não Sei                                                                                                                                                                          ,Sílvia Pérez Cruz                               ,37,0.382,0.0866,0.978,0.00197,0.157,111.042
A Força Que Nunca Seca (feat. Maria Bethânia)                                                                                                                                    ,Chico César                                     ,42,0.563,0.112,0.89,0.0,0.312,108.372
Aquarela Do Brasil                                                                                                                                                               ,Carlos Barbosa-Lima                             ,45,0.423,0.252,0.963,0.901,0.438,81.025
Brigas Nunca Mais                                                                                                                                                                ,Brazilian Jazz                                  ,9,0.529,0.276,0.972,0.885,0.28,96.134
Águas De Março                                                                                                                                                                   ,Antônio Carlos Jobim                            ,42,0.639,0.552,0.832,0.0,0.474,143.241
Aquarela Do Brasil                                                                                                                                                               ,Voyager                                         ,19,0.449,0.145,0.937,0.919,0.304,91.33
Chega De Saudade                                                                                                                                                                 ,João Gilberto                                   ,25,0.426,0.245,0.735,0.0,0.686,175.898
Don't Stop the Carnival                                                                                                                                                          ,Sonny Rollins                                   ,39,0.481,0.525,0.568,0.0,0.817,104.664
Rebel Rebel                                                                                                                                                                      ,Seu Jorge                                       ,31,0.775,0.206,0.879,0.000313,0.553,120.46
Rosa Morena - Live At Carnegie Hall/1964                                                                                                                                         ,Stan Getz                                       ,39,0.529,0.134,0.906,0.121,0.474,133.614
Karoliina Kaunis                                                                                                                                                                 ,Maria Gasolina                                  ,41,0.753,0.215,0.618,0.00464,0.382,130.338
"Brigas, Nunca Mais                                                                                                                                                             ",João Gilberto                                   ,42,0.496,0.242,0.702,0.0,0.733,82.67
Aquarela Do Brasil                                                                                                                                                               ,Gal Costa                                       ,15,0.553,0.55,0.8,0.000723,0.679,137.016
Kaipuusamba                                                                                                                                                                      ,Maria Gasolina                                  ,23,0.542,0.224,0.774,0.0887,0.532,79.7
Batida Diferente                                                                                                                                                                 ,Cannonball Adderley                             ,4,0.605,0.485,0.876,0.841,0.694,99.419
Team Zissou                                                                                                                                                                      ,Seu Jorge                                       ,4,0.619,0.402,0.87,0.0702,0.792,93.237
Parabens                                                                                                                                                                         ,Marcos Valle                                    ,11,0.737,0.802,0.0146,0.346,0.476,109.821
O Amor Em Paz                                                                                                                                                                    ,Cannonball Adderley                             ,25,0.682,0.281,0.973,0.884,0.436,118.107
Once Again                                                                                                                                                                       ,Stan Getz                                       ,23,0.623,0.331,0.846,0.0781,0.583,90.439
